YEAR,MONTH,DAY,STID,PDIR,WSPD
2012,9,28,WASH,-996,3.41
2012,9,29,WASH,1,6.22
2012,9,30,WASH,0,5.48
2012,10,1,WASH,15,11.21
2012,10,2,WASH,-996,6.7
2012,10,3,WASH,-996,6.26
2012,10,4,WASH,0,8.28
2012,10,5,WASH,1,11.16
2012,10,6,WASH,2,11.08
2012,10,7,WASH,1,5.89
2012,10,8,WASH,-996,6.85
2012,10,9,WASH,8,9.5
2012,10,10,WASH,3,8.39
2012,10,11,WASH,-996,6.97
2012,10,12,WASH,7,7.57
2012,10,13,WASH,8,12.41
2012,10,14,WASH,13,9.08
2012,10,15,WASH,-996,6.8
2012,10,16,WASH,8,11.05
2012,10,17,WASH,15,13.91
2012,10,18,WASH,15,11.08
2012,10,19,WASH,-996,7.58
2012,10,20,WASH,-996,6.24
2012,10,21,WASH,8,13.69
2012,10,22,WASH,8,11.89
2012,10,23,WASH,8,12.09
2012,10,24,WASH,8,12.69
2012,10,25,WASH,8,14.84
2012,10,26,WASH,0,14.37
2012,10,27,WASH,0,6.07
2012,10,28,WASH,-996,3.68
2012,10,29,WASH,-996,4.09
2012,10,30,WASH,-996,5.56
2012,10,31,WASH,-996,4.71
2012,11,1,WASH,-996,4.19
2012,11,2,WASH,-996,8.51
2012,11,3,WASH,1,9.16
2012,11,4,WASH,-996,4.31
2012,11,5,WASH,-996,9.73
2012,11,6,WASH,15,6.89
2012,11,7,WASH,6,4.98
2012,11,8,WASH,7,12.67
2012,11,9,WASH,8,14.11
2012,11,10,WASH,7,18.16
2012,11,11,WASH,15,12.06
2012,11,12,WASH,-996,3.47
2012,11,13,WASH,-996,3.83
2012,11,14,WASH,-996,5.86
2012,11,15,WASH,-996,5.15
2012,11,16,WASH,-996,3.27
2012,11,17,WASH,-996,6.33
2012,11,18,WASH,7,11.03
2012,11,19,WASH,7,8.24
2012,11,20,WASH,-996,2.81
2012,11,21,WASH,-996,7.74
2012,11,22,WASH,8,12.27
2012,11,23,WASH,1,13.69
2012,11,24,WASH,-996,7.22
2012,11,25,WASH,7,6.95
2012,11,26,WASH,0,12.67
2012,11,27,WASH,-996,6.25
2012,11,28,WASH,-996,7.68
2012,11,29,WASH,7,11.3
2012,11,30,WASH,6,8.59
2012,12,1,WASH,9,13.45
2012,12,2,WASH,-996,8.29
2012,12,3,WASH,8,14.68
2012,12,4,WASH,0,11.78
2012,12,5,WASH,6,5.53
2012,12,6,WASH,7,9.69
2012,12,7,WASH,0,5.43
2012,12,8,WASH,15,5.32
2012,12,9,WASH,0,14.23
2012,12,10,WASH,-996,9.43
2012,12,11,WASH,-996,3.67
2012,12,12,WASH,-996,8.5
2012,12,13,WASH,7,11.41
2012,12,14,WASH,7,12.99
2012,12,15,WASH,10,11.47
2012,12,16,WASH,10,9.09
2012,12,17,WASH,13,6.42
2012,12,18,WASH,-996,3.08
2012,12,19,WASH,9,11.92
2012,12,20,WASH,14,18.27
2012,12,21,WASH,-996,5.57
2012,12,22,WASH,9,9.55
2012,12,23,WASH,15,7.47
2012,12,24,WASH,1,8.19
2012,12,25,WASH,0,17.55
2012,12,26,WASH,-996,8.07
2012,12,27,WASH,6,7.1
2012,12,28,WASH,15,9.73
2012,12,29,WASH,-996,5.17
2012,12,30,WASH,7,7.35
2012,12,31,WASH,6,7.65
