H0308,Tue Jul 01 15:00:00 PDT 2003,41.17,-73.96,0,220
H0358,Tue Jul 01 15:00:00 PDT 2003,42.631,-73.749,3.13,240
H0290,Tue Jul 01 15:01:00 PDT 2003,43.16,-77.56,3.13,30
H0304,Tue Jul 01 15:03:00 PDT 2003,40.843597,-73.17683,0,180
H0251,Tue Jul 01 15:00:00 PDT 2003,42.078,-76.02,0,0
H0395,Tue Jul 01 15:01:00 PDT 2003,40.91,-72.34,0.89,240
H0291,Tue Jul 01 15:01:00 PDT 2003,39.26,-84.58,1.34,20
H0492,Tue Jul 01 15:03:00 PDT 2003,45.56,-122.89,1.34,10
H0159,Tue Jul 01 15:03:00 PDT 2003,45.354,-122.842,1.79,100
H0227,Tue Jul 01 15:00:00 PDT 2003,44.75,-122.94,0.89,360
H0440,Tue Jul 01 15:00:00 PDT 2003,39.994,-75.365,0.89,280
H0179,Tue Jul 01 15:01:00 PDT 2003,40.1507,-75.0801,0.45,0
H0336,Tue Jul 01 15:00:00 PDT 2003,40.036,-75.514,0,160
H0229,Tue Jul 01 15:00:00 PDT 2003,40.537315,-79.91175,0.89,350
H0043,Tue Jul 01 15:01:00 PDT 2003,41.23,-80.5,0,150
H0044,Tue Jul 01 15:02:00 PDT 2003,36.8,-76.33,0.45,10
H0313,Tue Jul 01 15:02:00 PDT 2003,34.872116,-82.28625,0.89,110
H0116,Tue Jul 01 15:00:00 PDT 2003,34.95,-82.95,0,130
H0479,Tue Jul 01 15:01:00 PDT 2003,33.95,-81.17,1.34,110
H0329,Tue Jul 01 15:00:00 PDT 2003,34.63072,-82.51173,0,130
H0588,Tue Jul 01 15:01:00 PDT 2003,43.727,-98.001,1.79,180
H0298,Tue Jul 01 15:00:00 PDT 2003,44.0449,-103.233,1.34,50
H0447,Tue Jul 01 15:02:00 PDT 2003,38.44,-122.71,4.47,240
H0396,Tue Jul 01 15:00:00 PDT 2003,35.91,-86.88,2.24,20
H0235,Tue Jul 01 15:02:00 PDT 2003,36.23,-86.38,2.68,10
H0236,Tue Jul 01 15:01:00 PDT 2003,34.098,-98.57,1.34,230
H0202,Tue Jul 01 15:02:00 PDT 2003,32.93,-96.94,0,150
H0360,Tue Jul 01 15:04:00 PDT 2003,33.154,-97.064,2.68,50
H0591,Tue Jul 01 15:00:00 PDT 2003,32.733,-96.81,0.89,150
H0152,Tue Jul 01 15:01:00 PDT 2003,33.145767,-96.87703,1.34,110
H0361,Tue Jul 01 15:00:00 PDT 2003,29.79,-95.58,0.45,130
H0430,Tue Jul 01 15:01:00 PDT 2003,27.95,-97.77,0.89,280
H0415,Tue Jul 01 15:02:00 PDT 2003,29.51,-98.68,0,120
H0280,Tue Jul 01 15:00:00 PDT 2003,30.5844,-97.4156,0,120
H0148,Tue Jul 01 15:00:00 PDT 2003,30.07,-95.7,0,160
H0293,Tue Jul 01 15:01:00 PDT 2003,38.25,-78.53,0,160
H0281,Tue Jul 01 15:01:00 PDT 2003,37.77,-79.45,0,90
H0157,Tue Jul 01 15:03:00 PDT 2003,38.46285,-77.46338,0,110
H0363,Tue Jul 01 15:03:00 PDT 2003,48.25,-121.61,0,170
H0481,Tue Jul 01 15:02:00 PDT 2003,47.7707,-122.2659,2.24,300
H0494,Tue Jul 01 15:02:00 PDT 2003,30.47,-88.34,1.34,180
H0597,Tue Jul 01 15:02:00 PDT 2003,45.602,-122.526,1.79,280
H0331,Tue Jul 01 15:00:00 PDT 2003,45.71,-122.62,0.45,0
H0598,Tue Jul 01 15:01:00 PDT 2003,45.65,-122.52,3.58,20
H0490,Tue Jul 01 15:00:00 PDT 2003,34.31,-118.41,0,140
H0423,Tue Jul 01 15:00:00 PDT 2003,41.91,-70.93,0.89,300
H0603,Tue Jul 01 15:01:00 PDT 2003,37.96,-122,1.79,310
H0493,Tue Jul 01 15:00:00 PDT 2003,39.292,-77.907,0,230
H0052,Tue Jul 01 15:02:00 PDT 2003,41.37,-73.23,0,230
H0482,Tue Jul 01 15:02:00 PDT 2003,44.7625,-93.3528,2.68,220
H0538,Tue Jul 01 15:02:00 PDT 2003,37.074,-76.5,0,80
H0501,Tue Jul 01 15:03:00 PDT 2003,38.138,-121.179,2.68,230
H0062,Tue Jul 01 15:01:00 PDT 2003,35.85,-78.17,0,20
H0069,Tue Jul 01 15:00:00 PDT 2003,44.54,-91.24,0,230
H0072,Tue Jul 01 15:00:00 PDT 2003,34.5,-117.96,7.15,330
H0525,Tue Jul 01 15:05:00 PDT 2003,41.27,-96.17,0.89,100
H0080,Tue Jul 01 15:02:00 PDT 2003,44.503,-72.219,3.13,230
